NMI,ARI,ACC,dataset,method,backbone,known_cls_ratio,labeled_ratio,cluster_num_factor,logger_file_name,seed
42.91,14.81,44.12,send_new_refined_request,USNID,bert_USNID,1.0,0.1,1.0,USNID_send_new_refined_request_bert_USNID_2024-11-03-19-28-01,0
42.91,14.81,44.12,send_new_refined_request,USNID,bert_USNID,1.0,0.1,2.0,USNID_send_new_refined_request_bert_USNID_2024-11-03-19-29-44,0
51.0,13.93,41.18,send_new_refined_request,USNID,bert_USNID,1.0,0.1,3.0,USNID_send_new_refined_request_bert_USNID_2024-11-03-19-31-36,0
42.25,12.13,47.06,send_new_refined_request,USNID,bert_USNID,0.25,0.1,1.0,USNID_send_new_refined_request_bert_USNID_2024-11-03-19-33-27,1
40.31,10.43,44.12,send_new_refined_request,USNID,bert_USNID,0.25,0.1,2.0,USNID_send_new_refined_request_bert_USNID_2024-11-03-19-35-07,1
42.73,2.16,35.29,send_new_refined_request,USNID,bert_USNID,0.25,0.1,3.0,USNID_send_new_refined_request_bert_USNID_2024-11-03-19-36-54,1
39.82,4.89,38.24,send_new_refined_request,USNID,bert_USNID,0.5,0.1,1.0,USNID_send_new_refined_request_bert_USNID_2024-11-03-19-38-41,1
39.82,4.89,38.24,send_new_refined_request,USNID,bert_USNID,0.5,0.1,2.0,USNID_send_new_refined_request_bert_USNID_2024-11-03-19-40-22,1
46.6,4.05,38.24,send_new_refined_request,USNID,bert_USNID,0.5,0.1,3.0,USNID_send_new_refined_request_bert_USNID_2024-11-03-19-42-12,1
37.46,3.91,41.18,send_new_refined_request,USNID,bert_USNID,0.75,0.1,1.0,USNID_send_new_refined_request_bert_USNID_2024-11-03-19-44-02,1
37.46,3.91,41.18,send_new_refined_request,USNID,bert_USNID,0.75,0.1,2.0,USNID_send_new_refined_request_bert_USNID_2024-11-03-19-45-45,1
46.61,11.11,44.12,send_new_refined_request,USNID,bert_USNID,0.75,0.1,3.0,USNID_send_new_refined_request_bert_USNID_2024-11-03-19-47-36,1
34.82,2.24,38.24,send_new_refined_request,USNID,bert_USNID,1.0,0.1,1.0,USNID_send_new_refined_request_bert_USNID_2024-11-03-19-49-27,1
37.66,0.03,35.29,send_new_refined_request,USNID,bert_USNID,1.0,0.1,2.0,USNID_send_new_refined_request_bert_USNID_2024-11-03-19-51-09,1
45.99,1.31,35.29,send_new_refined_request,USNID,bert_USNID,1.0,0.1,3.0,USNID_send_new_refined_request_bert_USNID_2024-11-03-19-53-01,1
39.51,3.38,31.58,send_new_refined_request_provide,USNID,bert_USNID,0.25,0.1,1.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-19-57-10,0
37.73,3.46,31.58,send_new_refined_request_provide,USNID,bert_USNID,0.25,0.1,2.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-20-00-05,0
43.93,3.95,28.95,send_new_refined_request_provide,USNID,bert_USNID,0.25,0.1,3.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-20-03-09,0
37.79,3.65,27.63,send_new_refined_request_provide,USNID,bert_USNID,0.5,0.1,1.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-20-06-16,0
37.79,3.65,27.63,send_new_refined_request_provide,USNID,bert_USNID,0.5,0.1,2.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-20-09-12,0
47.52,5.99,36.84,send_new_refined_request_provide,USNID,bert_USNID,0.5,0.1,3.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-20-12-24,0
42.93,4.38,31.58,send_new_refined_request_provide,USNID,bert_USNID,0.75,0.1,1.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-20-15-34,0
43.48,3.56,30.26,send_new_refined_request_provide,USNID,bert_USNID,0.75,0.1,2.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-20-18-35,0
45.98,3.12,31.58,send_new_refined_request_provide,USNID,bert_USNID,0.75,0.1,3.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-20-21-49,0
44.04,7.73,31.58,send_new_refined_request_provide,USNID,bert_USNID,1.0,0.1,1.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-20-25-02,0
41.44,3.49,32.89,send_new_refined_request_provide,USNID,bert_USNID,1.0,0.1,2.0,USNID_send_new_refined_request_provide_bert_USNID_2024-11-03-20-28-07,0
